Subscribe
![rss feed icon](https://www.agriculture.gov.au/sites/default/files/images/rss-symbol.png) Import Industry Advice Notices RSS Feed
| Import industry advice notices 2021 |  |  | 
|---|---|---|
| Date | No. | Description | 
|---|---|---|
| 23 December 2021 | 251-2021 | Change of account receivable communication email | 
| 23 December 2021 | 250-2021 | Ehrlichiosis in dogs intended for import to Australia | 
| 23 December 2021 | 249-2021 | Commencement of 2022 Asian Gypsy Moth (AGM) vessel assessment and seasonal pest inspection measures | 
| 13 December 2021 | 248-2021 | Scheduled Outage: Tuesday 14 December to Wednesday 15 December 2021 – MARS | 
| 13 December 2021 | 247-2021 | Service Disruption: Sunday 19 December 2021 - BICON | 
| 13 December 2021 | 246-2021 | December 2021 / January 2022 Holiday Shut Down Operating Hours | 
| 9 December 2021 | 245-2021 | Update: Implementation of phytosanitary measures for Diaporthe angelicae on imported carrot seed for sowing | 
| 9 December 2021 | 244-2021 | Upcoming extension of sea container measures (Phase 6A) to protect against khapra beetle | 
| 4 December 2021 | 243-2021 | Services Restored: Saturday 4 December 2021 – BICON, COLS, MARS, OPS, PEBS | 
| 3 December 2021 | 242-2021 | Urgent Scheduled Outage: Saturday 04 December 2021 – COLS, PEBS | 
| 3 December 2021 | 241-2021 | Entry coversheet for seed for planting consignments now available for use | 
| 30 November 2021 | 240-2021 | Addition of Estonia to list of approved Salmonid processing countries | 
| 29 November 2021 | 239-2021 | Service Disruption: Friday 03 December to Monday 06 December 2021 – BICON, COLS, MARS, OPS, PEBS | 
| 22 November 2021 | 238-2021 | Scheduled Outage: Sunday 28 November to Monday 29 November 2021– COLS, PEBS | 
| 22 November 2021 | 237-2021 | Scheduled Outage: Friday 26 November to Sunday 28 November 2021– COLS, MARS, OPS, PEBS | 
| 22 November 2021 | 236-2021 | Service Disruption: Sunday 28 November 2021 - BICON | 
| 22 November 2021 | 235-2021 | Changes to how the department will recover costs for audit arrangements associated with inorganic fertiliser and used vehicle supply chains | 
| 16 November 2021 | 234-2021 | Scheduled Outage: Friday 19 November to Saturday 20 November 2021 – COLS, MARS, OPS and PEBS unavailable, BMSB/Treatment Certificate Portal impacted | 
| 16 November 2021 | 233-2021 | Commencement of 2021-22 Burnt Pine Longicorn Season | 
| 15 November 2021 | 232-2021 | Khapra beetle Phases 4 and 5, and extension of Phase 6A measures | 
| 8 November 2021 | 231-2021 | Service Disruption: Sunday 14 November to Monday 15 November 2021 – BICON | 
| 8 November 2021 | 230-2021 | Service Disruption: Sunday 14 November 2021 - BICON | 
| 5 November 2021 | 229-2021 | Scheduled Outage: Thursday 11 November to Friday 12 November 2021 – BICON impacted, COLS, OPS and PEBS unavailable | 
| 1 November 2021 | 228-2021 | Scheduled Outage: Friday 05 November to Saturday 06 November 2021 – MARS | 
| 21 October 2021 | 227-2021 | Approval of new Recognised Offshore Cleaning and Pre-inspection Provider (ROCIP) facility in Japan for used vehicles and associated parts for export to Australia | 
| 20 October 2021 | 226-2021 | Proposed enhanced class 1.2 approved arrangement conditions for handling live animals – Invitation for feedback | 
| 19 October 2021 | 225-2021 | Import Document Assessment Delays | 
| 18 October 2021 | 224-2021 | Change to email address for Request for Inspection Cairns, Northern Territory and South Australia | 
| 18 October 2021 | 223-2021 | Service Disruption: Sunday 24 October 2021 – BICON | 
| 15 October 2021 | 222-2021 | Services Restored: Friday 15 October 2021 – BICON invoices | 
| 15 October 2021 | 221-2021 | Expression of interest: Proof of concept for 3D x-ray technology in the air cargo pathway | 
| 15 October 2021 | 220-2021 | Unplanned Service Disruption: Friday 15 October – BICON invoices | 
| 13 October 2021 | 219-2021 | Addition of Lithuania to list of approved Salmonid processing countries | 
| 12 October 2021 | 218-2021 | Permit application assessment delays | 
| 6 October 2021 | 217-2021 | Impacts to Service Standards in Victoria and NSW for bookings and inspections during COVID-19 pandemic | 
| 5 October 2021 | 216-2021 | Fresh loose and truss tomatoes from New Zealand | 
| 5 October 2021 | 215-2021 | Scheduled Outage: Wednesday 06 October 2021– COLS, OPS, PEBS | 
| 1 October 2021 | 214-2021 | Officer identification on issued directions | 
| 29 September 2021 | 213-2021 | Service Disruption: Friday 01 October 2021 – BICON | 
| 29 September 2021 | 212-2021 | BICON Case update - Prefabricated office, accommodation units and caravans | 
| 27 September 2021 | 211-2021 | COLS & CWMS Enhancements | 
| 27 September 2021 | 210-2021 | Urgent Scheduled Outage: Monday 27 September to Tuesday 28 September 2021 - PEBS | 
| 27 September 2021 | 209-2021 | Scheduled Outage: Tuesday 28 September to Wednesday 29 September 2021 – COLS, OPS, PEBS | 
| 24 September 2021 | 208-2021 | New BICON case for used fish bins | 
| 24 September 2021 | 207-2021 | Khapra beetle measures: Phase 3 and final controlled atmosphere treatment methodology | 
| 23 September 2021 | 206-2021 | Anticipated permit assessment delays | 
| 21 September 2021 | 205-2021 | Gateway Clearance of Sea Cargo | 
| 21 September 2021 | 204-2021 | Removal of two plant products from the Compliance-Based Intervention Scheme (CBIS) | 
| 20 September 2021 | 203-2021 | Service Disruption: Sunday 26 September 2021 - BICON | 
| 20 September 2021 | 202-2021 | Scheduled Outage: Friday 24 September to Saturday 25 September 2021 – COLS, PEBS | 
| 20 September 2021 | 201-2021 | Scheduled Outage: Thursday 23 September to Friday 24 September 2021 – COLS, MARS, OPS, PEBS | 
| 17 September 2021 | 200-2021 | COVID Vaccination Requirement - NSW Public Health Order | 
| 17 September 2021 | 199-2021 | Changes to import conditions for used fish bins | 
| 7 September 2021 | 198-2021 | Services Restored: Tuesday 07 September 2021 - AIMS | 
| 7 September 2021 | 197-2021 | Unplanned Service Disruption: Tuesday 07 September 2021 - AIMS | 
| 6 September 2021 | 196-2021 | Changes to structure of import conditions in BICON for fresh horticultural produce for human consumption | 
| 6 September 2021 | 195-2021 | Scheduled Outage: Friday 10 September to Saturday 11 September 2021 – COLS, OPS, PEBS | 
| 3 September 2021 | 194-2021 | Unplanned Service Disruption: Friday 03 September - BICON | 
| 3 September 2021 | 193-2021 | Approval of new Recognised Offshore Cleaning and Pre-inspection Provider (ROCIP) facility in Japan for used vehicle and associated parts for export to Australia | 
| 3 September 2021 | 192-2021 | BICON Update - Methyl Bromide Fumigation Certificate Requirements for Khapra Beetle | 
| 2 September 2021 | 191-2021 | Post Entry Quarantine (PEQ) Cat and Dog veterinary care | 
| 1 September 2021 | 190-2021 | Services Restored: Wednesday 1 September 2021 - DAWE Network | 
| 1 September 2021 | 189-2021 | Unplanned Outage: Wednesday 1 September 2021 - DAWE Network | 
| 1 September 2021 | 188-2021 | Reminder: Plastic wrapping, impervious surfaces, and timber thickness fumigation certification requirements | 
